Day,Daily Hours Remaining for Meal Prep,Daily Calories Lost,Daily Hours Sleeping,Daily Activities,Daily Duration of Activities,Start of Activities in List,End of Activities in List
1,8.0,1630.5326,9.5,"['Eating (Sitting/Standing)', 'Dancing', 'Eating (Sitting/Standing)', 'Sitting', '\nVideo Games Sitting', 'Badminton', 'Standing, play with children, light', 'Eating (Sitting/Standing)']","[0.5, 1.5, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","['08:30:00', '09:00:00', '11:00:00', '12:30:00', '14:00:00', '16:00:00', '17:00:00', '19:00:00']","['09:00:00', '10:30:00', '12:00:00', '13:30:00', '15:00:00', '17:00:00', '18:00:00', '20:00:00']"
2,8.5,1587.3229,8.5,"['Eating (Sitting/Standing)', 'Eating (Sitting/Standing)', 'Laundry (Washing Clothes, Folding Clothes)', 'Martial arts, tae kwan do', 'Eating (Sitting/Standing)']","[1.0, 1.0, 1.5, 2.0, 1.0]","['08:00:00', '11:00:00', '13:00:00', '15:00:00', '19:00:00']","['09:00:00', '12:00:00', '14:30:00', '17:00:00', '20:00:00']"
3,9.0,1587.3229,8.5,"['Eating (Sitting/Standing)', 'Meditation', 'Eating (Sitting/Standing)', 'Swimming laps, freestyle, slow', 'Resting, No activity, Sitting, Standing', 'Eating (Sitting/Standing)']","[1.0, 1.0, 1.0, 3.0, 1.0, 1.0]","['08:00:00', '09:30:00', '11:00:00', '13:30:00', '17:00:00', '19:00:00']","['09:00:00', '10:30:00', '12:00:00', '16:30:00', '18:00:00', '20:00:00']"
4,7.5,1587.3229,8.5,"['Eating (Sitting/Standing)', 'Eating (Sitting/Standing)', 'Martial arts, tae kwan do', 'Eating (Sitting/Standing)']","[1.0, 1.0, 2.0, 1.0]","['08:00:00', '11:00:00', '15:00:00', '19:00:00']","['09:00:00', '12:00:00', '17:00:00', '20:00:00']"
5,10.5,1587.3229,8.5,"['Eating (Sitting/Standing)', 'Meditation', 'Eating (Sitting/Standing)', 'Kayaking', 'Fishing', 'Eating (Sitting/Standing)']","[1.0, 1.0, 1.0, 0.5, 2.0, 1.0]","['08:00:00', '09:30:00', '11:00:00', '12:30:00', '13:30:00', '19:00:00']","['09:00:00', '10:30:00', '12:00:00', '13:00:00', '15:30:00', '20:00:00']"
6,9.0,1587.3229,8.5,"['Eating (Sitting/Standing)', 'Pushing stroller or walking with children', 'Eating (Sitting/Standing)', 'Video Games Sitting', 'Dancing', 'Eating (Sitting/Standing)']","[1.0, 1.0, 0.5, 1.0, 1.5, 1.0]","['08:00:00', '09:30:00', '11:30:00', '13:30:00', '16:00:00', '19:00:00']","['09:00:00', '10:30:00', '12:00:00', '14:30:00', '17:30:00', '20:00:00']"
7,8.0,1630.5326,9.5,"['Eating (Sitting/Standing)', 'Eating (Sitting/Standing)', 'Musical Instruments', 'Sitting', 'Eating (Sitting/Standing)']","[1.0, 0.5, 1.5, 2.0, 1.0]","['09:00:00', '11:30:00', '13:00:00', '15:30:00', '19:00:00']","['10:00:00', '12:00:00', '14:30:00', '17:30:00', '20:00:00']"
