Day,Daily Hours Remaining for Meal Prep,Daily Calories Lost,Daily Hours Sleeping,Daily Activities,Daily Duration of Activities,Start of Activities in List,End of Activities in List
1,5.5,2189.3791,8.25,"['Resting, No activity, Sitting, Standing', 'Sitting', 'Eating (sitting/standing)', 'Walking, under 2.0 mph, very slow', 'Eating (sitting/standing)', 'Resting, No activity, Sitting, Standing', 'Resting, No activity, Sitting, Standing']","[1.0, 1.25, 1.0, 3.5, 1.5, 0.5, 0.75]","['12:45:00', '14:00:00', '15:30:00', '17:00:00', '20:45:00', '00:00:00', '00:30:00']","['13:45:00', '15:15:00', '16:30:00', '20:30:00', '22:15:00', '00:30:00', '01:15:00']"
2,6.5,2159.3755,7.75,"['Resting, No activity, Sitting, Standing', 'Sitting', 'Eating (sitting/standing)', 'Sitting', 'Resting, No activity, Sitting, Standing', 'Walking 2.5 mph', 'Eating (sitting/standing)', 'Walking 2.5 mph', 'Resting, No activity, Sitting, Standing', 'Resting, No activity, Sitting, Standing']","[0.5, 5.5, 1.0, 2.5, 1.0, 1.0, 1.5, 1.0, 0.5, 0.5]","['09:30:00', '10:00:00', '15:30:00', '16:30:00', '19:00:00', '20:00:00', '21:15:00', '22:45:00', '00:00:00', '01:00:00']","['10:00:00', '15:30:00', '16:30:00', '19:00:00', '20:00:00', '21:00:00', '22:45:00', '23:45:00', '00:30:00', '01:30:00']"
3,-1.0,2174.3773,8.0,"['Resting, No activity, Sitting, Standing', 'Sitting', 'Eating (sitting/standing)', 'Sitting', 'Video Games Sitting', 'Eating (sitting/standing)', 'Resting, No activity, Sitting, Standing', 'Resting, No activity, Sitting, Standing']","[0.5, 5.5, 1.0, 2.5, 1.25, 1.5, 0.5, 0.25]","['09:30:00', '10:00:00', '15:30:00', '16:30:00', '19:00:00', '20:30:00', '01:00:00', '01:30:00']","['10:00:00', '15:30:00', '16:30:00', '19:00:00', '20:15:00', '22:00:00', '01:30:00', '01:45:00']"
4,0.75,2144.3738,7.5,"['Resting, No activity, Sitting, Standing', 'Sitting', 'Eating (sitting/standing)', 'Sitting', 'Walking 2.5 mph', 'Video Games Sitting', 'Eating (sitting/standing)', 'Resting, No activity, Sitting, Standing', 'Resting, No activity, Sitting, Standing', 'None', 'Resting, No activity, Sitting, Standing', 'Sitting', 'Eating (sitting/standing)', 'Sitting', 'Video Games Sitting', 'Walking 2.5 mph', 'Eating (sitting/standing)', 'Resting, No activity, Sitting, Standing', 'Resting, No activity, Sitting, Standing']","[0.5, 6.0, 1.0, 2.0, 1.5, 0.25, 2.0, 0.5, 0.75, 8.0, 0.5, 5.0, 1.25, 3.25, 1.0, 0.5, 1.5, 0.5, 0.5]","['09:30:00', '10:00:00', '16:00:00', '17:00:00', '19:00:00', '20:30:00', '20:45:00', '00:15:00', '00:45:00', '01:30:00', '09:30:00', '10:00:00', '15:00:00', '16:15:00', '19:30:00', '20:30:00', '21:00:00', '01:00:00', '01:30:00']","['10:00:00', '16:00:00', '17:00:00', '19:00:00', '20:30:00', '20:45:00', '22:45:00', '00:45:00', '01:30:00', '09:30:00', '10:00:00', '15:00:00', '16:15:00', '19:30:00', '20:30:00', '21:00:00', '22:30:00', '01:30:00', '02:00:00']"
5,-26.0,2144.3738,7.5,"['Resting, No activity, Sitting, Standing', 'Sitting', 'Eating (sitting/standing)', 'Sitting', 'Walking 2.5 mph', 'Driving', 'Eating (sitting/standing)', 'Sitting', 'Driving', 'Resting, No activity, Sitting, Standing', 'Resting, No activity, Sitting, Standing']","[0.5, 5.0, 1.0, 4.0, 1.0, 0.5, 1.0, 0.75, 0.5, 0.25, 0.5]","['09:30:00', '10:00:00', '15:00:00', '16:00:00', '20:00:00', '21:00:00', '21:30:00', '03:00:00', '03:45:00', '04:15:00', '04:30:00']","['10:00:00', '15:00:00', '16:00:00', '20:00:00', '21:00:00', '21:30:00', '22:30:00', '03:45:00', '04:15:00', '04:30:00', '05:00:00']"
6,-4.25,2159.3755,7.75,"['Sitting', 'Resting, No activity, Sitting, Standing', 'None', 'Eating (sitting/standing)', 'Walking 2.0 mph, slow', 'Eating (sitting/standing)', 'Driving']","[0.5, 0.5, 1.5, 1.0, 5.25, 1.5, 0.5]","['12:45:00', '13:15:00', '13:45:00', '15:15:00', '16:15:00', '21:30:00', '02:30:00']","['13:15:00', '13:45:00', '15:15:00', '16:15:00', '21:30:00', '23:00:00', '03:00:00']"
