Day,Daily Hours Remaining for Meal Prep,Daily Calories Lost,Daily Hours Sleeping,Daily Activities,Daily Duration of Activities,Start of Activities in List,End of Activities in List
1,12.25,2172.8674,9.5,"['Eating (sitting/standing)', 'Eating (sitting/standing)', 'Eating (sitting/standing)']","[0.75, 0.75, 0.75]","['14:45:00', '18:15:00', '00:00:00']","['15:30:00', '19:00:00', '00:45:00']"
2,15.25,2000.1219,6.5,"['Eating (sitting/standing)', '<span><br><span>Description:</span>Resting, No activity, Sitting, Standing</span>', 'Eating (sitting/standing)', '<span><br><span>Description:</span>Resting, No activity, Sitting, Standing</span>\n\nThis event has a video call.\nJoin: https://meet.google.com/fzv-nskv-aea', 'Eliptical (moderate)', 'Eating (sitting/standing)']","[0.25, 4.75, 0.75, 3.0, 0.75, 0.75]","['11:45:00', '12:00:00', '17:00:00', '18:00:00', '22:30:00', '00:00:00']","['12:00:00', '16:45:00', '17:45:00', '21:00:00', '23:15:00', '00:45:00']"
3,8.25,2000.1219,6.5,"['Eating (sitting/standing)', '<span><br><span>Description:</span>Resting, No activity, Sitting, Standing</span>', 'Eating (sitting/standing)', '<span><br><span>Description:</span>Resting, No activity, Sitting, Standing</span>\n\nThis event has a video call.\nJoin: https://meet.google.com/fzv-nskv-aea', 'Eating (sitting/standing)', '<u>Sleeping</u>', 'Eating (sitting/standing)', '<span><br><span>Description:</span>Resting, No activity, Sitting, Standing</span>', 'Eating (sitting/standing)', '<span><br><span>Description:</span>Resting, No activity, Sitting, Standing</span>\n\nThis event has a video call.\nJoin: https://meet.google.com/fzv-nskv-aea', 'Eliptical (moderate)', 'Eating (sitting/standing)']","[0.25, 4.75, 0.75, 3.0, 0.75, 6.5, 0.25, 4.75, 0.75, 3.0, 0.75, 0.75]","['11:45:00', '12:00:00', '17:00:00', '18:00:00', '00:00:00', '05:00:00', '11:45:00', '12:00:00', '17:00:00', '18:00:00', '22:30:00', '00:00:00']","['12:00:00', '16:45:00', '17:45:00', '21:00:00', '00:45:00', '11:30:00', '12:00:00', '16:45:00', '17:45:00', '21:00:00', '23:15:00', '00:45:00']"
4,-6.75,2000.1219,6.5,"['Eating (sitting/standing)', '<span><br><span>Description:</span>Resting, No activity, Sitting, Standing</span>', 'Eating (sitting/standing)', '<span><br><span>Description:</span>Resting, No activity, Sitting, Standing</span>\n\nThis event has a video call.\nJoin: https://meet.google.com/fzv-nskv-aea', 'Eating (sitting/standing)']","[0.25, 4.75, 0.75, 3.0, 0.75]","['11:45:00', '12:00:00', '17:00:00', '18:00:00', '00:00:00']","['12:00:00', '16:45:00', '17:45:00', '21:00:00', '00:45:00']"
5,9.0,2000.1219,6.5,"['Eating (sitting/standing)', '<span><br><span>Description:</span>Resting, No activity, Sitting, Standing</span>', 'Eating (sitting/standing)', '<span><br><span>Description:</span>Resting, No activity, Sitting, Standing</span>\n\nThis event has a video call.\nJoin: https://meet.google.com/fzv-nskv-aea', 'Eliptical (moderate)', 'Eating (sitting/standing)']","[0.25, 4.75, 0.75, 3.0, 0.75, 0.75]","['11:45:00', '12:00:00', '17:00:00', '18:00:00', '22:30:00', '00:00:00']","['12:00:00', '16:45:00', '17:45:00', '21:00:00', '23:15:00', '00:45:00']"
6,5.25,2172.8674,9.5,"['Eating (sitting/standing)', 'Eating (sitting/standing)', 'Eating (sitting/standing)']","[0.75, 0.75, 0.75]","['14:45:00', '18:15:00', '00:00:00']","['15:30:00', '19:00:00', '00:45:00']"
